defined_class	defined_class_label	entity	entity_label
MP:0030135	"small sixth pharyngeal arch"	UBERON:0003117	"pharyngeal arch 6"
MP:0030190	"small snout"	UBERON:0006333	"snout"
MP:0000692	"small spleen"	UBERON:0002106	"spleen"
MP:0030127	"small stapes"	UBERON:0001687	"stapes bone"
MP:0002691	"small stomach"	UBERON:0000945	"stomach"
MP:0001036	"small submandibular ganglion"	UBERON:0002059	"submandibular ganglion"
MP:0001015	"small superior cervical ganglion"	UBERON:0001989	"superior cervical ganglion"
MP:0001098	"small superior glossopharyngeal ganglion"	UBERON:0005361	"superior glossopharyngeal IX ganglion"
MP:0001102	"small superior vagus ganglion"	UBERON:0005364	"superior vagus X ganglion"
MP:0004444	"small supraoccipital bone"	UBERON:0004747	"supraoccipital bone"
MP:0012062	"small tail bud"	UBERON:0002533	"post-anal tail bud"
MP:0006105	"small tectum"	UBERON:0002314	"midbrain tectum"
MP:0004422	"small temporal bone"	UBERON:0001678	"temporal bone"
MP:0030121	"small temporal bone squamous part"	UBERON:0001695	"squamous part of temporal bone"
MP:0001147	"small testis"	UBERON:0000473	"testis"
MP:0020527	"small thalamus"	UBERON:0001897	"dorsal plus ventral thalamus"
MP:0030133	"small third pharyngeal arch"	UBERON:0003114	"pharyngeal arch 3"
MP:0013909	"small third ventricle"	UBERON:0002286	"third ventricle"
MP:0010103	"small thoracic cage"	UBERON:0003252	"thoracic rib cage"
MP:0004734	"small thoracic cavity"	UBERON:0002224	"thoracic cavity"
MP:0000706	"small thymus"	UBERON:0002370	"thymus"
MP:0013592	"small thymus cortex"	UBERON:0002123	"cortex of thymus"
MP:0013588	"small thymus medulla"	UBERON:0002124	"medulla of thymus"
MP:0002951	"small thyroid gland"	UBERON:0002046	"thyroid gland"
MP:0004549	"small trachea"	UBERON:0003126	"trachea"
MP:0001093	"small trigeminal ganglion"	UBERON:0001675	"trigeminal ganglion"
MP:0000912	"small trigeminal motor nucleus"	UBERON:0002633	"motor nucleus of trigeminal nerve"
MP:0030081	"small upper incisors"	UBERON:0003450	"upper jaw incisor"
MP:0010979	"small ureteric bud"	UBERON:0000084	"ureteric bud"
MP:0003594	"small urethra"	UBERON:0000057	"urethra"
MP:0002637	"small uterus"	UBERON:0000995	"uterus"
MP:0004336	"small utricle"	UBERON:0001853	"utricle of membranous labyrinth"
MP:0008983	"small vagina"	UBERON:0000996	"vagina"
MP:0014111	"small ventral pancreas"	UBERON:0003924	"ventral pancreatic bud"
MP:0004610	"small vertebrae"	UBERON:0002412	"vertebra"
MP:0004670	"small vertebral body"	UBERON:0001075	"bony vertebral centrum"
MP:0003987	"small vestibular ganglion"	UBERON:0002824	"vestibular ganglion"
MP:0004317	"small vestibular saccule"	UBERON:0001854	"saccule of membranous labyrinth"
MP:0012131	"small visceral yolk sac"	UBERON:0001040	"yolk sac"
MP:0030266	"small vomer bone"	UBERON:0002396	"vomer"
MP:0013597	"small vomeronasal organ"	UBERON:0002255	"vomeronasal organ"
MP:0003527	"small vulva"	UBERON:0000997	"mammalian vulva"
MP:0004680	"small xiphoid process"	UBERON:0006430	"xiphoid cartilage"
MP:0004468	"small zygomatic bone"	UBERON:0001683	"jugal bone"
